bridge_id,bridge_no,original_bridge_no,bridge_name,original_link,corrected_link,original_region,corrected_region,original_station,corrected_station,original_lon,original_lat,source_lon,source_lat,corrected_lon,corrected_lat,correction_distance_km,correction_method,audit_status,evidence,safe_attribute_defaults_applied
bridge-32,B722,B016,Mpalla 1,C677_Link02,C677_Link02,Northern,Northern,Kitgum,Kitgum,33.270755,3.091984,32.5126,0.1064,33.270755,3.091984,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-33,B016,B016,Rwimi,A005_Link11,A005_Link11,Western,Western,Fort Portal,Fort Portal,30.211397,0.373341,30.211411,0.37333,30.211397,0.373341,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-34,B723,B017,Kajjansi Overbridge 3 Kee 13,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.527008,0.197212,32.5262,0.1974,32.527008,0.197212,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-35,B017,B017,Mpalla 2,C963_Link02,C963_Link02,North Eastern,North Eastern,Moroto,Moroto,34.91421,2.317555,32.5123,0.1058,34.91421,2.317555,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-36,B644,B017,Nsonja,C547_Link01,C547_Link01,Western,Western,Fort Portal,Fort Portal,30.380972,0.132079,30.27809,0.349995,30.380972,0.132079,0,Placed by bridge chainage along exact host road link geometry after latitude-sign-corrected-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-37,B767,B018,Mubuku Bridge,C963_Link03,A005_Link13,North Eastern,Southern,Moroto,Kasese,30.117778,0.258476,32.5234,0.1849,30.117778,0.258476,0,Corrected from historical B018 Mubuku/Kasese evidence; workbook row had contaminated North Eastern road-link fields,Placed on exact national road host link,"Historical B018 record, BMS 2026 row, and investment model all identify Mubuku Bridge on A005_Link13, Mubuku - Kasese, Southern/Kasese",
bridge-38,B768,B018,Mpalla 3,C964_Link02,M3Int4_S1,North Eastern,Central,Soroti,Kampala,32.51194,0.105169,32.5118,0.105,32.51194,0.105169,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-39,B018,B018,Mubuku Bridge,A005_Link13,A005_Link13,Southern,Southern,Kasese,Kasese,30.117778,0.258476,30.120991,0.2614,30.117778,0.258476,0,Placed by bridge chainage along exact host road link geometry after latitude-sign-corrected-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-40,B769,B019,Mubuku,C967_Link01,A005_Link13,North Eastern,Southern,Moroto,Kasese,30.117351,0.252003,30.11684,0.25201,30.117351,0.252003,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-41,B019,X100,Lopei Irish Crossing,B301_Link01,B301_Link01,North Eastern,North Eastern,Kotido,Kotido,34.333296,2.579508,34.333321,2.57954,34.333296,2.579508,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
