bridge_id,bridge_number,bridge_name,host_link_id,road_link_name,road_class,region,station,corrected_longitude,corrected_latitude,chainage_from_start_of_road_km,missing_attribute_count,missing_attributes,safe_attribute_defaults_applied,legacy_backfill_field_count,legacy_backfill_sources,location_audit_status
bridge-437,B766,Amuru Junction - Awee,C686_Link02,Amuru Junction - Awee,C,Northern,Gulu,31.713149,2.862597,57.65,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 439,Placed on exact national road host link
bridge-438,B861,Road Over Sugarcane Plantation,A001_Link06,Kakira junction - Iganga,A,Eastern,Jinja,33.28486,0.4861,86.144,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 440,Placed on exact national road host link
bridge-439,B862,Road Over Sugarcane Plantation,A001_Link06,Kakira junction - Iganga,A,Eastern,Jinja,33.28486,0.4861,86.144,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 441,Placed on exact national road host link
bridge-440,B863,Malawa,B308_Link01,Namutere - Busia,B,Eastern,Tororo,34.094877,0.465697,16.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,3,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 442; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 356; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 356,Placed on exact national road host link
bridge-441,B864,Kiguli Bridge,C862_Link01,Namagumba - Budadiri,C,Eastern,Mbale,34.33581,1.17053,18.427,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 443; km: Historical Bridges 18062025.xlsx::Bridges row 390; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 357; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 357,Placed on exact national road host link
bridge-442,B865,Leresi,C833_Link01,Nabumali junction-Busolwe,C,Eastern,Tororo,33.92727,0.850405,34.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 444,Placed on exact national road host link
bridge-443,B866,Manafa,A007_Link02,Tororo - Magodes - Nabumali,A,Eastern,Tororo,34.181152,0.695212,4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 445,Placed on exact national road host link
bridge-444,B867,Buwangani,C867_Link02,Bubulo-Bududa Circle road,C,Eastern,Mbale,34.326436,1.032512,28.4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 446,Placed on exact national road host link
bridge-445,B868,Dopeth,B302_Link01,Kotido - Abim,B,North Eastern,Kotido,33.65981,2.71145,63.821,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 447; km: Historical Bridges 18062025.xlsx::Bridges row 394; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 361; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 361,Placed on exact national road host link
bridge-446,B869,Ameta Bridge,B302_Link02,Abim - Kilak,B,Northern,Kitgum,33.486561,2.740379,83.821,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 448,Placed on exact national road host link
